group_name	nce	contrast_angle
Unmodified	33.096650	0.876864
Unmodified	32.500419	0.870372
Acetyl	31.533626	0.911299
TMT6plex	31.169245	0.693297
TMT6plex	25.122276	0.697007
Phospho	32.160729	0.968687
Unmodified	29.525512	0.873980
Unmodified	32.753602	0.899545
Unmodified	31.925640	0.937607
Unmodified	33.719745	0.883026
TMT6plex	34.048948	0.816223
mixed	26.863059	0.890677
TMT6plex	34.140253	0.617801
mixed	32.336396	0.866843
TMT6plex	33.442360	0.856052
Unmodified	34.999999	0.630207
HexNAc	34.999999	0.845403
Unmodified	34.999999	0.764319
Acetyl	31.184399	0.937305
Unmodified	33.148983	0.660779
Unmodified	31.618017	0.821600
Unmodified	33.370316	0.934556
Unmodified	32.267419	0.943549
Unmodified	32.874814	0.960802
Oxidation	32.083794	0.838979
Acetyl	31.256488	0.819376
TMT6plex	32.153240	0.897792
TMT6plex	34.999999	0.860245
TMT6plex	31.460252	0.791164
Unmodified	32.392740	0.954548
TMT6plex	34.999999	0.881851
Unmodified	32.583132	0.836922
Unmodified	32.911962	0.630504
Unmodified	32.182613	0.976985
mixed	34.999999	0.550727
Unmodified	34.999999	0.896469
Acetyl	31.080842	0.943365
Unmodified	33.120447	0.829658
GlyGly (Ub)	31.989488	0.957200
Acetyl	31.377679	0.901819
Unmodified	32.041380	0.758167
Unmodified	33.982146	0.672853
Unmodified	26.446423	0.802048
Unmodified	30.445594	0.889778
TMT6plex	32.574654	0.927895
TMT6plex	34.200525	0.692027
TMT6plex	33.663973	0.657502
Unmodified	32.828015	0.948644
Unmodified	32.530025	0.951551
TMT6plex	32.017955	0.442364
Oxidation	32.304519	0.821441
Unmodified	32.601759	0.790803
Unmodified	32.225904	0.897320
mixed	34.999999	0.674805
Unmodified	32.692292	0.910726
Unmodified	32.280219	0.939734
Unmodified	32.336044	0.749424
Methyl	34.999999	0.802507
Unmodified	32.646465	0.734603
Unmodified	34.615135	0.858047
Unmodified	32.970542	0.827615
mixed	33.598945	0.762202
Unmodified	34.302723	0.857824
